Date;Open;High;Low;Close; Volume 
10/01/1985;0.113853;0.114162;0.113853;0.113853; $32.503.494.227.879,00 
11/01/1985;0.113853;0,797222222;0.11173;0.112946; $24.055.056.447.936,00 
14/01/1985;0.115977;0.117193;0.115977;0.115977; $3.172.565.175.674,00 
15/01/1985;0.115977;0.11812;0.113853;0.113853; $31.084.468.758.658,00 
16/01/1985;0,8;0.116615;0,797222222;0,797222222; $22.276.021.512.057,00 
17/01/1985;0,8;0.116615;0.106545;0.106545; $64.231.770.465.504,00 
18/01/1985;0.106545;0.111121;0.106236;0.108689; $41.372.383.374.583,00 
21/01/1985;0.111121;0.11173;0.111121;0.111121; $38.176.953.568.974,00 
22/01/1985;0.114162;0,797222222;0.114162;0.114162; $49.839.217.496.671,00 
23/01/1985;0.114162;0,797222222;0.112328;0.112328; $50.504.058.838.321,00 
24/01/1985;0.112328;0.112328;0.110204;0.110204; $46.580.713.085.063,00 
25/01/1985;0.110204;0.112328;0.107771;0.112328; $37.359.703.060.415,00 
28/01/1985;0,8;0.115977;0,797222222;0,797222222; $4.835.449.223.843,00 
29/01/1985;0,8;0.115707;0.113534;0.113534; $26.246.660.280.468,00 
30/01/1985;0.113534;0.115707;0.113534;0.113534; $57.769.974.441.016,00 
31/01/1985;0.113534;0.113853;0.110204;0.110204; $32.406.265.762.092,00 
01/02/1985;0.110204;0.110513;0.107771;0.108689; $16.158.460.083.815,00 
04/02/1985;0.111121;0.11144;0.111121;0.111121; $25.576.555.834.039,00 
05/02/1985;0.11173;0.113853;0.11173;0.11173; $22.294.414.343.527,00 
06/02/1985;0.113853;0.113853;0.113853;0.113853; $22.809.463.275.669,00 
07/02/1985;0.113853;0.115378;0.113534;0.113534; 287982664.58 
08/02/1985;0.113534;0.113853;0.11173;0.113534; $15.488.362.859.348,00 
11/02/1985;0.115707;0.116615;0.115707;0.115707; $40.702.283.542.184,00 
12/02/1985;0.115707;0.115977;0.112946;0.112946; $26.572.506.057.445,00 
13/02/1985;0.112946;0.112946;0.107771;0.107771; $61.827.320.480.908,00 
14/02/1985;0.107771;0.108689;0.10473;0.10473; $50.073.083.268.105,00 
15/02/1985;0.10473;0.106545;0.103814;0.106236; $20.368.222.512.577,00 
19/02/1985;0.105937;0.105937;0.10473;0.10473; $17.577.475.622.839,00 
20/02/1985;0.10473;0.105338;0.100165;0.100165; $258.051.825.739,00 
21/02/1985;0.101999;0.102597;0.101999;0.101999; $36.158.790.659.628,00 
22/02/1985;0.101999;0.105937;0.101999;0.10473; $26.575.131.240.464,00 
25/02/1985;0.10473;0.105338;0.103494;0.103494; $11.559.772.758.351,00 
26/02/1985;0.103494;0.103814;0.101391;0.101391; $22.168.276.465.996,00 
27/02/1985;0.101391;0.101391;0.0952893;0.0952893; $47.345.415.498.093,00 
28/02/1985;0.0952893;0.0952893;0.093764;0.093764; $37.430.652.212.426,00 
01/03/1985;0.093764;0.0943821;0.0910124;0.0943821; $2.902.688.457.163,00 
04/03/1985;0.0959075;0.0986292;0.0959075;0.0959075; $17.961.142.630.625,00 
05/03/1985;0.0983401;0.0983401;0.0983401;0.0983401; $15.341.204.860.922,00 
06/03/1985;0.0983401;0.0983401;0.093465;0.093465; $22.712.234.609.271,00 
07/03/1985;0.093465;0.093764;0.0840237;0.0840237; $86.105.742.870.943,00 
08/03/1985;0.0840237;0.0840237;0.0785404;0.0816011; $55.554.715.073.456,00 
11/03/1985;0.0843328;0.0849309;0.0843328;0.0843328; $33.551.990.540.713,00 
12/03/1985;0.0873834;0.0883006;0.0873834;0.0873834; $25.742.112.882.847,00 
13/03/1985;0.0873834;0.0873834;0.0825083;0.0825083; $2.946.048.141.297,00 
14/03/1985;0.0825083;0.0831065;0.0825083;0.0825083; $2.834.365.280.583,00 
15/03/1985;0.0825083;0.0876925;0.0819101;0.0858382; $21.282.701.587.228,00 
18/03/1985;0.0867654;0.0876925;0.0867654;0.0867654; $14.636.951.670.261,00 
19/03/1985;0.0867654;0.0876925;0.0834056;0.0834056; $20.113.324.583.644,00 
20/03/1985;0.0843328;0.0858382;0.0843328;0.0843328; $4.750.834.034.253,00 
21/03/1985;0.0858382;0.0873834;0.0858382;0.0858382; $190.595.744.944,00 
22/03/1985;0.0858382;0.0873834;0.0843328;0.0843328; $94.286.176.466.636,00 
25/03/1985;0.0843328;0.0843328;0.0819101;0.0819101; $12.899.959.584.104,00 
26/03/1985;0.0855291;0.0855291;0.0855291;0.0855291; $14.245.408.611.889,00 
27/03/1985;0.0855291;0.0861472;0.0831065;0.0831065; $13.062.891.249.281,00 
28/03/1985;0.0831065;0.0843328;0.0831065;0.0831065; $15.204.558.527.823,00 
29/03/1985;0.0831065;0.0843328;0.0831065;0.0840237; $10.227.468.202.095,00 
01/04/1985;0.0840237;0.0858382;0.0819101;0.0819101; $13.380.856.060.728,00 
02/04/1985;0.0819101;0.0825083;0.0797567;0.0797567; $266.802.429.788,00 
03/04/1985;0.0797567;0.0800558;0.0797567;0.0797567; $2.846.715.908.082,00 
04/04/1985;0.0797567;0.0800558;0.0782314;0.0791486; $18.988.620.327.139,00 
08/04/1985;0.0791486;0.0797567;0.0742834;0.0742834; $23.314.009.770.544,00 
09/04/1985;0.0742834;0.0749015;0.0742834;0.0742834; $30.958.336.498.207,00 
10/04/1985;0.0797567;0.080674;0.0797567;0.0797567; $26.619.807.999.744,00 
11/04/1985;0.081292;0.0834056;0.081292;0.081292; $1.720.696.121.129,00 
12/04/1985;0.081292;0.081292;0.0785404;0.0791486; $8.508.876.069.065,00 
15/04/1985;0.081292;0.0819101;0.081292;0.081292; $70.189.035.542.396,00 
16/04/1985;0.0819101;0.0825083;0.0819101;0.0819101; $79.360.183.439.377,00 
17/04/1985;0.0858382;0.0867654;0.0858382;0.0858382; $1.445.826.008.012,00 
18/04/1985;0.0867654;0.0873834;0.0867654;0.0867654; $23.747.598.186.262,00 
19/04/1985;0.0867654;0.0867654;0.0849309;0.0855291; $11.265.460.472.783,00 
22/04/1985;0.0855291;0.0855291;0.0819101;0.0819101; $12.035.409.139.347,00 
23/04/1985;0.0840237;0.0843328;0.0840237;0.0840237; $13.877.508.349.808,00 
24/04/1985;0.0840237;0.0855291;0.0834056;0.0834056; $9.260.434.211.175,00 
25/04/1985;0.0834056;0.0840237;0.0834056;0.0834056; $10.280.026.227.821,00 
26/04/1985;0.0834056;0.0858382;0.0831065;0.0831065; $14.043.065.198.006,00 
29/04/1985;0.0831065;0.0834056;0.0800558;0.0800558; $72.974.538.084.394,00 
30/04/1985;0.080674;0.081292;0.080674;0.080674; $11.113.043.582.388,00 
01/05/1985;0.080674;0.081292;0.0791486;0.0791486; $67.272.155.489.462,00 
02/05/1985;0.0782314;0.0782314;0.0730472;0.0730472; $38.686.746.016.468,00 
03/05/1985;0.0730472;0.076407;0.0730472;0.0761278; $18.549.770.210.913,00 
06/05/1985;0.0761278;0.0767259;0.0749015;0.0749015; $65.853.140.351.658,00 
07/05/1985;0.0761278;0.0761278;0.0761278;0.0761278; $12.624.045.646.781,00 
08/05/1985;0.0755096;0.0755096;0.0755096;0.0755096; $16.938.920.315.403,00 
09/05/1985;0.0761278;0.076407;0.0761278;0.0761278; $14.907.618.651.913,00 
10/05/1985;0.0761278;0.0779423;0.0761278;0.0767259; $15.963.998.939.429,00 
13/05/1985;0.0767259;0.0773241;0.0761278;0.0761278; $10.232.727.896.502,00 
14/05/1985;0.0761278;0.076407;0.0749015;0.0749015; $14.282.192.268.729,00 
15/05/1985;0.0761278;0.0773241;0.0761278;0.0761278; $1.530.178.619.117,00 
16/05/1985;0.081292;0.0834056;0.081292;0.081292; $27.045.511.437.729,00 
17/05/1985;0.081292;0.0840237;0.080674;0.0825083; $24.853.911.818.009,00 
20/05/1985;0.0825083;0.0843328;0.081292;0.081292; $23.132.689.185.792,00 
21/05/1985;0.080674;0.080674;0.0785404;0.0785404; $17.895.444.446.486,00 
22/05/1985;0.0785404;0.0791486;0.0782314;0.0782314; $14.142.918.846.814,00 
23/05/1985;0.0779423;0.0779423;0.0749015;0.0749015; $28.057.219.780.608,00 
24/05/1985;0.0749015;0.0749015;0.0688002;0.0688002; $69.153.679.889.501,00 
28/05/1985;0.067883;0.067883;0.0639349;0.0639349; $5.994.317.230.212,00 
29/05/1985;0.0648422;0.0654603;0.0648422;0.0648422; $28.924.399.420.586,00 
30/05/1985;0.0666666;0.067883;0.0666666;0.0666666; $36.944.507.777.083,00 
31/05/1985;0.0666666;0.0685011;0.0660485;0.0660485; $43.337.986.352.408,00 
03/06/1985;0.0645431;0.0645431;0.0608843;0.0608843; $67.574.363.184.486,00 
04/06/1985;0.0654603;0.0660485;0.0654603;0.0654603; $47.150.954.855.232,00 
05/06/1985;0.0654603;0.0672648;0.0639349;0.0639349; $33.599.297.397.957,00 
06/06/1985;0.0645431;0.0645431;0.0645431;0.0645431; $31.815.004.171.942,00 
07/06/1985;0.0645431;0.0645431;0.0621106;0.0621106; $55.751.804.911.538,00 
10/06/1985;0.0621106;0.0627286;0.0612033;0.0612033; $37.086.410.193.608,00 
11/06/1985;0.0612033;0.0627286;0.0612033;0.0612033; $35.278.464.040.495,00 
12/06/1985;0.0612033;0.0614924;0.0599771;0.0599771; $29.092.580.950.279,00 
13/06/1985;0.0599771;0.0602661;0.0563182;0.0563182; $44.523.137.724.877,00 
14/06/1985;0.0563182;0.0599771;0.0560192;0.0560192; $66.360.308.920.098,00 
17/06/1985;0.0563182;0.0569264;0.0563182;0.0563182; $27.726.117.017.458,00 
18/06/1985;0.0578435;0.0587409;0.0578435;0.0578435; $31.113.372.051.796,00 
19/06/1985;0.0593689;0.0602661;0.0593689;0.0593689; $20.176.389.861.277,00 
20/06/1985;0.0599771;0.0599771;0.0599771;0.0599771; $22.383.764.050.494,00 
21/06/1985;0.0612033;0.0627286;0.0612033;0.0612033; $19.490.532.611.541,00 
24/06/1985;0.0654603;0.0663775;0.0654603;0.0654603; $24.139.141.244.634,00 
25/06/1985;0.0663775;0.067883;0.0663775;0.0663775; $34.479.610.576.217,00 
26/06/1985;0.0688002;0.0688002;0.0688002;0.0688002; $15.509.388.196.105,00 
27/06/1985;0.0697173;0.0703255;0.0697173;0.0697173; $22.578.218.574.748,00 
28/06/1985;0.0697173;0.0703255;0.0685011;0.0685011; $15.924.584.181.574,00 
01/07/1985;0.0688002;0.0691191;0.0688002;0.0688002; $12.135.267.502.491,00 
02/07/1985;0.0688002;0.0691191;0.0654603;0.0654603; $91.185.357.065.453,00 
03/07/1985;0.0663775;0.0663775;0.0663775;0.0663775; $80.358.730.961.008,00 
05/07/1985;0.0666666;0.0672648;0.0666666;0.0666666; $42.912.268.570.803,00 
08/07/1985;0.0666666;0.0672648;0.0666666;0.0666666; $10.818.729.992.855,00 
09/07/1985;0.0666666;0.0672648;0.0666666;0.0666666; $1.735.148.710.565,00 
10/07/1985;0.0685011;0.0685011;0.0685011;0.0685011; $12.440.094.061.318,00 
11/07/1985;0.0685011;0.0688002;0.0685011;0.0685011; $76.127.920.325.944,00 
12/07/1985;0.0685011;0.0685011;0.067883;0.067883; $55.184.180.701.207,00 
15/07/1985;0.067883;0.0691191;0.0672648;0.0672648; $91.132.723.008.521,00 
16/07/1985;0.0672648;0.067883;0.0663775;0.0663775; $16.818.038.019.773,00 
17/07/1985;0.0666666;0.067883;0.0666666;0.0666666; $13.864.368.993.834,00 
18/07/1985;0.0666666;0.0666666;0.0654603;0.0654603; $210.067.835.374,00 
19/07/1985;0.0660485;0.0660485;0.0660485;0.0660485; $13.480.715.226.311,00 
22/07/1985;0.0660485;0.0660485;0.0639349;0.0639349; $22.559.824.639.924,00 
23/07/1985;0.0639349;0.0648422;0.0627286;0.0627286; $19.790.103.187.247,00 
24/07/1985;0.0627286;0.0636359;0.0614924;0.0614924; $19.792.730.075.452,00 
25/07/1985;0.0630078;0.0636359;0.0630078;0.0630078; $36.962.899.003.672,00 
26/07/1985;0.0630078;0.0636359;0.0630078;0.0630078; $15.312.301.567.784,00 
29/07/1985;0.0630078;0.0630078;0.0608843;0.0608843; $91.211.571.782.797,00 
30/07/1985;0.0614924;0.0621106;0.0614924;0.0614924; $10.495.504.985.477,00 
31/07/1985;0.0614924;0.0621106;0.0602661;0.0602661; $94.443.829.880.978,00 
01/08/1985;0.0602661;0.0612033;0.0602661;0.0602661; $60.492.418.726.733,00 
02/08/1985;0.0602661;0.0602661;0.0599771;0.0599771; $11.428.385.818.745,00 
05/08/1985;0.0599771;0.0602661;0.0584418;0.0584418; $10.831.867.242.423,00 
06/08/1985;0.0584418;0.0599771;0.0578435;0.0578435; $73.999.370.536.883,00 
07/08/1985;0.0578435;0.0608843;0.0563182;0.0563182; $17.800.845.175.919,00 
08/08/1985;0.0575345;0.0578435;0.0575345;0.0575345; $17.335.719.657.811,00 
09/08/1985;0.0578435;0.0578435;0.0578435;0.0578435; $71.502.994.209.932,00 
12/08/1985;0.0578435;0.0578435;0.0569264;0.0569264; $6.451.292.584.172,00 
13/08/1985;0.0578435;0.0587409;0.0578435;0.0578435; $49.718.388.563.312,00 
14/08/1985;0.0578435;0.0578435;0.055411;0.055411; $34.009.234.591.764,00 
15/08/1985;0.055411;0.0560192;0.0548028;0.0548028; $1.234.023.760.397,00 
16/08/1985;0.055411;0.0563182;0.055411;0.055411; $98.254.143.811.411,00 
19/08/1985;0.0569264;0.0578435;0.0569264;0.0569264; $56.156.490.435.339,00 
20/08/1985;0.0578435;0.0578435;0.0578435;0.0578435; $78.545.509.064.684,00 
21/08/1985;0.0578435;0.0578435;0.0578435;0.0578435; $90.344.429.857.507,00 
22/08/1985;0.0578435;0.0578435;0.0563182;0.0563182; $14.466.146.161.208,00 
23/08/1985;0.0563182;0.0569264;0.0560192;0.0560192; $51.636.635.835.347,00 
26/08/1985;0.0575345;0.0575345;0.0575345;0.0575345; $41.834.847.198.642,00 
27/08/1985;0.0578435;0.0578435;0.0578435;0.0578435; $50.349.002.220.679,00 
28/08/1985;0.0578435;0.0584418;0.0578435;0.0578435; $48.036.532.141.321,00 
29/08/1985;0.0578435;0.0578435;0.0563182;0.0563182; $65.826.791.225.585,00 
30/08/1985;0.0569264;0.0569264;0.0569264;0.0569264; $50.296.453.423.015,00 
03/09/1985;0.0569264;0.0569264;0.0560192;0.0560192; $43.937.141.145.301,00 
04/09/1985;0.0563182;0.0575345;0.0563182;0.0563182; $5.578.862.477.849,00 
05/09/1985;0.0563182;0.0569264;0.0563182;0.0563182; $3.849.757.174.915,00 
06/09/1985;0.0569264;0.0569264;0.0569264;0.0569264; $10.887.049.448.119,00 
09/09/1985;0.0578435;0.0584418;0.0578435;0.0578435; $15.522.524.743.539,00 
10/09/1985;0.0584418;0.0593689;0.0584418;0.0584418; $1.428.482.527.554,00 
11/09/1985;0.0587409;0.0593689;0.0587409;0.0587409; $10.216.957.238.902,00 
12/09/1985;0.0612033;0.0612033;0.0612033;0.0612033; $13.041.862.100.934,00 
